i: 102, m: 0.0022323178761604005, v: 1.3938323171825118e-6
i: 103, m: 0.002616079416278273, v: 2.442195277198722e-6
i: 104, m: 0.003089584618250439, v: 2.1870855460729012e-6
i: 105, m: 0.0022414618098627144, v: 2.16926798784609e-6
i: 106, m: 0.0026567229647937486, v: 1.7717713055960079e-6
i: 107, m: 0.0023437737095907234, v: 2.3715219595168966e-6
i: 108, m: 0.0025372504330468046, v: 1.5070209488060062e-6
i: 109, m: 0.002786418637363128, v: 1.899844461155431e-6
i: 110, m: 0.0028103186652172416, v: 2.1062914076451582e-6
i: 111, m: 0.002866743321726772, v: 1.5163173765363215e-6
i: 112, m: 0.00267718833048322, v: 2.0115716005094453e-6
i: 113, m: 0.0026409848946792273, v: 3.609594845970293e-6
i: 114, m: 0.0024554273844763497, v: 1.3567133978970535e-6
i: 115, m: 0.002419240652525671, v: 3.085312875310875e-6
i: 116, m: 0.002559820803972902, v: 1.4047683396134716e-6
i: 117, m: 0.0026843470349770123, v: 1.2029661541510978e-6
i: 118, m: 0.002634025324598734, v: 1.6377898411219947e-6
i: 119, m: 0.002347932071102452, v: 2.553019996447058e-6
i: 120, m: 0.002786126767374651, v: 2.054159778178173e-6
i: 121, m: 0.0026783507305136556, v: 2.6314905728913313e-6
i: 122, m: 0.0024985547341279703, v: 1.6487762977260661e-6
i: 123, m: 0.0024495584296461447, v: 1.3214837160007786e-6
i: 124, m: 0.0027883903705497137, v: 2.3683283986389357e-6
i: 125, m: 0.0026487795342006004, v: 2.15067384304367e-6
i: 126, m: 0.002857364109394253, v: 2.3881977456204784e-6
i: 127, m: 0.003305581155095706, v: 1.7928038985800962e-6
i: 128, m: 0.0025027213610584126, v: 2.034057276996881e-6
i: 129, m: 0.002950217010988403, v: 3.144041460842424e-6
i: 130, m: 0.0026877900311919876, v: 4.061911558260954e-6
i: 131, m: 0.0029097105912301246, v: 3.112556873436293e-6
i: 132, m: 0.0018579769446699008, v: 1.0799087879874014e-6
i: 133, m: 0.0025503006112456866, v: 1.3700020995794742e-6
i: 134, m: 0.002690082508060172, v: 2.18165917540784e-6
i: 135, m: 0.0025979282838733174, v: 1.3760617033540584e-6
i: 136, m: 0.002294891756011599, v: 1.795674915372708e-6
i: 137, m: 0.0027576384955018953, v: 1.9323831890189945e-6
i: 138, m: 0.002467024078440774, v: 1.4295618885169561e-6
i: 139, m: 0.0027838734599326493, v: 2.1578133043928313e-6
i: 140, m: 0.002194864110980854, v: 1.737180297315685e-6
i: 141, m: 0.0024736919244815457, v: 1.4416449316249768e-6
i: 142, m: 0.0027445278606789713, v: 1.2778042511473803e-6
i: 143, m: 0.0023617630246578164, v: 1.7811177158980218e-6
i: 144, m: 0.002403176475256694, v: 1.651201552232534e-6
i: 145, m: 0.002999333577473171, v: 2.188971387935971e-6
i: 146, m: 0.0026651009177571425, v: 1.823278082528524e-6
i: 147, m: 0.003070467612130745, v: 1.6236950465205768e-6
i: 148, m: 0.002409670482527457, v: 1.9304732846386815e-6
i: 149, m: 0.0031558101443920606, v: 2.393963831484614e-6
i: 150, m: 0.002387719822057101, v: 1.3931601220300898e-6
i: 151, m: 0.0026087520583549214, v: 1.7809886581279072e-6
i: 152, m: 0.0023710989048271107, v: 1.8587994365898504e-6
i: 153, m: 0.002663300282660794, v: 1.768309392546457e-6
i: 154, m: 0.0026446174523965206, v: 2.2524597318952246e-6
i: 155, m: 0.003191628298832234, v: 2.1965736123830104e-6
i: 156, m: 0.002437528039275819, v: 1.5243109589271482e-6
i: 157, m: 0.0027408575885596452, v: 2.0511850549281628e-6
i: 158, m: 0.0024636815079244726, v: 1.872509438443932e-6
i: 159, m: 0.002221062066062908, v: 1.7985157933279102e-6
i: 160, m: 0.0026697388999844377, v: 1.960615283125432e-6
i: 161, m: 0.003019138780018255, v: 2.346881393041477e-6
i: 162, m: 0.00267269893532863, v: 2.2971713114821206e-6
i: 163, m: 0.002952795510156145, v: 2.719737270846022e-6
i: 164, m: 0.002859261076924922, v: 2.8938500688860105e-6
i: 165, m: 0.0025662371506872663, v: 1.9492137038108335e-6
i: 166, m: 0.002882188174052538, v: 2.264677547424911e-6
i: 167, m: 0.0026069994997656516, v: 2.296902360333457e-6
i: 168, m: 0.002650550908585001, v: 2.367937208078479e-6
i: 169, m: 0.0023928971687495874, v: 2.310728041681979e-6
i: 170, m: 0.002505503339658579, v: 2.613830029443562e-6
i: 171, m: 0.0026213621055522964, v: 2.4981913653863804e-6
i: 172, m: 0.0025415915522845863, v: 2.340406298388202e-6
i: 173, m: 0.002340043591850936, v: 2.0586311240583164e-6
i: 174, m: 0.0026337851520054395, v: 2.182145321070387e-6
i: 175, m: 0.0026105978537412354, v: 2.1574876658464923e-6
i: 176, m: 0.002308136213037246, v: 1.559429862771012e-6
